HoleID,Dist,Dip,Azim,Stype
3A24-406,15,48.77,20.72,Slim Gyro
3A24-406,20,49.02,20.28,Slim Gyro
3A24-406,25,48.51,19.8,Slim Gyro
3A24-406,30,48.02,18.77,Slim Gyro
3A24-406,35,47.56,18.03,Slim Gyro
3A24-406,40,47.61,16.99,Slim Gyro
3A24-406,45,47.65,15.82,Slim Gyro
3A24-406,50,47.4,15.29,Slim Gyro
3A24-406,55,47.76,15.24,Slim Gyro
3A24-406,60,47.06,13.94,Slim Gyro
3A24-406,65,46.1,12.78,Slim Gyro
3A24-406,70,46.08,12.4,Slim Gyro
3A24-406,75,46.58,12.71,Slim Gyro
3A24-406,80,46.61,12.85,Slim Gyro
